Species 层级生物标志物列表
103. GGB9502_SGB14899
104. Lachnospira_sp_NSJ_43
105. GGB47687_SGB2286
106. Faecalibacterium_SGB15346
107. Anaerotignum_faecicola
108. Lachnospiraceae_bacterium_AM48_27BH
109. Mogibacterium_sp_BX12
110. GGB2848_SGB3813
111. Alistipes_ihumii
112. Vescimonas_coprocola
113. Faecalibacterium_prausnitzii
114. Dorea_sp_AF24_7LB
115. GGB38744_SGB14842
116. Dialister_invisus
117. Coprococcus_comes
118. GGB9770_SGB15390
119. Mediterraneibacter_glycyrrhizinilyticus
120. Adlercreutzia_equolifaciens
121. Dorea_sp_AF36_15AT
122. Desulfovibrio_piger
123. Dorea_formicigenerans
124. GGB9534_SGB14937
125. Clostridiaceae_bacterium_Marseille_Q4145
126. Clostridiaceae_bacterium_AF18_31LB
127. Lachnospiraceae_bacterium
128. GGB2977_SGB3959
129. Alistipes_shahii
130. Holdemania_filiformis
131. Intestinimonas_butyriciproducens
132. GGB2983_SGB3965
133. GGB9715_SGB15267
134. Streptococcus_thermophilus
135. GGB9707_SGB15229
136. GGB51269_SGB5062
137. GGB9342_SGB14306
138. GGB9636_SGB15107
139. Bilophila_wadsworthia
140. Parabacteroides_distasonis
141. Butyrivibrio_crossotus
142. Bacteroides_xylanisolvens
143. Ruminococcus_torques
144. Eubacteriales_unclassified_SGB15145
145. Turicibacter_sanguinis
146. Bifidobacterium_longum
147. GGB9762_SGB15377
148. GGB34797_SGB14322
149. Streptococcus_salivarius
150. Monoglobus_pectinilyticus
151. Roseburia_hominis
152. GGB9345_SGB14311
153. Pseudoflavonifractor_capillosus
154. Clostridium_sp_AM33_3
155. Blautia_glucerasea
156. Eubacterium_sp_AF34_35BH
157. Eubacterium_ventriosum
158. Anaerostipes_hadrus
159. Butyricimonas_virosa
160. Hydrogenoanaerobacterium_saccharovorans
161. GGB3746_SGB5089
162. GGB9713_SGB15249
163. Mediterraneibacter_butyricigenes
164. Evtepia_gabavorous
165. GGB9237_SGB14179
166. Clostridiaceae_unclassified_SGB4771
167. Agathobaculum_butyriciproducens
168. Candidatus_Cibionibacter_quicibialis
169. GGB9667_SGB15164
170. Paraprevotella_clara
171. Clostridiales_Family_XIII_bacterium_BX16
172. GGB58158_SGB79798
173. GGB3619_SGB4894
174. Clostridium_sp_AF36_4
175. GGB9522_SGB14921
176. Collinsella_aerofaciens
177. Alistipes_sp_AF17_16
178. Lachnospira_eligens
179. Bacteroides_stercoris
180. Lachnospiraceae_bacterium_Marseille_Q4251
181. Dysosmobacter_sp_BX15
182. Blautia_schinkii
183. Coprococcus_SGB4669
184. GGB3005_SGB3996
185. GGB9581_SGB14999
186. Clostridiales_bacterium_UBA1390
187. GGB35068_SGB47850
188. GGB3730_SGB5060
189. Candidatus_Pseudobutyricicoccus_lothianensis
190. Blautia_massiliensis
191. Bifidobacterium_bifidum
192. Clostridiales_bacterium_KLE1615
193. GGB9619_SGB15066
194. Mediterraneibacter_massiliensis
195. GGB9186_SGB14125
196. Phocaeicola_massiliensis
197. GGB9618_SGB15064
198. Candidatus_Avimonas_narfia
199. Coprococcus_eutactus
200. Bacteroides_fragilis
