Species 层级生物标志物列表
106. Enterocloster_citroniae
107. Bacteroides_ovatus
108. Desulfovibrio_desulfuricans
109. Oscillibacter_valericigenes
110. Intestinibacter_bartlettii
111. Ruthenibacterium_lactatiformans
112. GGB3740_SGB5076
113. Parabacteroides_merdae
114. Gordonibacter_massiliensis
115. Erysipelatoclostridium_ramosum
116. Ruminococcus_gnavus
117. GGB12785_SGB19823
118. Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1
119. Phocaeicola_massiliensis
120. Simiaoa_sunii
121. Bacteroides_faecis
122. Blautia_obeum
123. Bacteroides_clarus
124. Adlercreutzia_sp_JBNU_10
125. Barnesiella_intestinihominis
126. Bilophila_wadsworthia
127. Lentihominibacter_hominis
128. GGB9715_SGB15265
129. GGB12798_SGB135773
130. GGB3490_SGB4664
131. Mediterraneibacter_glycyrrhizinilyticus
132. Alistipes_indistinctus
133. Amedibacillus_dolichus
134. Bacteroides_intestinalis
135. Rothia_mucilaginosa
136. Brotolimicola_acetigignens
137. Lawsonibacter_hominis
138. Jutongia_huaianensis
139. GGB9359_SGB14334
140. Vescimonas_SGB15087
141. Neobittarella_massiliensis
142. Bittarella_massiliensis
143. Lachnospiraceae_bacterium_AM48_27BH
144. Mediterraneibacter_faecis
145. Phocea_massiliensis
146. Eubacterium_limosum
147. Flavonifractor_plautii
148. Actinomyces_naeslundii
149. Oribacterium_sinus
150. Holdemanella_biformis
151. Faecalibacillus_intestinalis
152. Bifidobacterium_dentium
153. Saccharomyces_cerevisiae
154. Clostridium_sp_Marseille_P3244
155. TM7_phylum_sp_oral_taxon_348
156. Lachnospiraceae_bacterium_oral_taxon_096
157. Eubacterium_ramulus
158. Eggerthella_lenta
159. Streptococcus_parasanguinis
160. Bacteroides_uniformis
161. Faecalimonas_umbilicata
162. Veillonella_rogosae
163. GGB3109_SGB4121
164. GGB9708_SGB15234
165. Lawsonibacter_SGB15145
166. Eubacterium_sp_AF34_35BH
167. GGB9762_SGB15377
168. GGB3510_SGB4687
169. Tyzzerella_nexilis
170. Lactobacillus_crispatus
171. GGB9619_SGB15067
172. Blautia_stercoris
173. Roseburia_intestinalis
174. GGB3537_SGB4727
175. GGB36331_SGB15121
176. GGB9616_SGB15052
177. Escherichia_coli
178. GGB51647_SGB4348
179. Mesosutterella_multiformis
180. GGB9524_SGB14924
181. Abiotrophia_defectiva
182. GGB9501_SGB14898
183. Cloacibacillus_porcorum
184. GGB4578_SGB6328
185. GGB9770_SGB15389
186. GGB3511_SGB4688
187. GGB9597_SGB15022
188. Anaerotruncus_rubiinfantis
189. Gemmiger_formicilis
190. Fusobacterium_nucleatum
191. Schaalia_SGB17158
192. Alloscardovia_omnicolens
193. GGB3550_SGB4746
194. GGB1549_SGB2133
195. GGB3730_SGB5060
196. Lachnoclostridium_SGB4602
197. Klebsiella_variicola
198. Blautia_hansenii
199. Collinsella_aerofaciens
200. Bifidobacterium_angulatum
